,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.012048192771084341,成長價值
2,薪資,學習成長,-0.0380234550314687,經濟報酬
3,福利,學習成長,-0.03044312827739915,經濟報酬
4,管理制度,學習成長,-0.034024337365548926,經濟報酬
5,工作氛圍,學習成長,-0.017142297403508953,人際價值
6,同事互動,學習成長,-0.027614196462529217,人際價值
7,主管風格,學習成長,-0.02633289134677605,人際價值
8,公司規模,學習成長,-0.023226521868507412,組織文化與制度
9,工作環境,學習成長,-0.023130060073423806,組織文化與制度
10,產業前景,學習成長,-0.017142297403508953,組織文化與制度
11,工學院,學習成長,0.3654549491600956,科系專業
12,學經歷,學習成長,-0.012048192771084338,招募資訊
13,徵才,學習成長,-0.01204819277108435,招募資訊
14,工作,學習成長,-0.031120800793819244,招募資訊
15,招募人員,學習成長,-0.016242814989492083,招募資訊
16,正向,學習成長,-0.021079025235454536,情緒
17,負向,學習成長,0.044466555126240905,情緒
18,學習成長,創新,-0.012048192771084341,成長價值
19,創新,創新,1.0,成長價值
20,薪資,創新,-0.038023455031468686,經濟報酬
21,福利,創新,-0.03044312827739915,經濟報酬
22,管理制度,創新,-0.0340243373655489,經濟報酬
23,工作氛圍,創新,0.7028341935438671,人際價值
24,同事互動,創新,0.43630430410796145,人際價值
25,主管風格,創新,-0.02633289134677606,人際價值
26,公司規模,創新,-0.02322652186850741,組織文化與制度
27,工作環境,創新,0.3654549491600956,組織文化與制度
28,產業前景,創新,-0.01714229740350896,組織文化與制度
29,工學院,創新,-0.02313006007342377,科系專業
30,學經歷,創新,-0.012048192771084331,招募資訊
31,徵才,創新,-0.012048192771084348,招募資訊
32,工作,創新,0.23029392587426234,招募資訊
33,招募人員,創新,-0.01624281498949208,招募資訊
34,正向,創新,0.1398880765625619,情緒
35,負向,創新,-0.08003979922723366,情緒
36,學習成長,薪資,-0.0380234550314687,成長價值
37,創新,薪資,-0.038023455031468686,成長價值
38,薪資,薪資,0.9999999999999998,經濟報酬
