,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999998,成長價值
1,薪資,學習成長,-0.10564821227921686,經濟報酬
2,福利,學習成長,-0.10868581295531014,經濟報酬
3,管理制度,學習成長,-0.08452976656049926,經濟報酬
4,工作氛圍,學習成長,0.05352790598057033,人際價值
5,同事互動,學習成長,0.021599778532402726,人際價值
6,主管風格,學習成長,-0.07311128621736433,人際價值
7,工作地點,學習成長,-0.049474966974933685,組織文化與制度
8,公司規模,學習成長,-0.030599503068105213,組織文化與制度
9,工作環境,學習成長,-0.09588041581508895,組織文化與制度
10,產業前景,學習成長,-0.03059950306810522,組織文化與制度
11,多元性,學習成長,0.3404194716326706,組織文化與制度
12,變化性,學習成長,-0.05356075505842759,組織文化與制度
13,工學院,學習成長,0.3404194716326706,科系專業
14,面試,學習成長,-0.03059950306810522,招募資訊
15,工作,學習成長,0.013695790685918101,招募資訊
16,離職,學習成長,-0.04350139512570725,招募資訊
17,畢業,學習成長,-0.030599503068105244,招募資訊
18,正向,學習成長,0.031507380908987956,情緒
19,負向,學習成長,0.09864701515002862,情緒
20,學習成長,薪資,-0.10564821227921686,成長價值
21,薪資,薪資,1.0,經濟報酬
22,福利,薪資,0.25351950840719895,經濟報酬
23,管理制度,薪資,0.09338985378004735,經濟報酬
24,工作氛圍,薪資,-0.08593035313507294,人際價值
25,同事互動,薪資,-0.11946825934953305,人際價值
26,主管風格,薪資,-0.0065470745245770085,人際價值
27,工作地點,薪資,-0.05814972767490992,組織文化與制度
28,公司規模,薪資,-0.035964708603027286,組織文化與制度
29,工作環境,薪資,-0.05196341301718105,組織文化與制度
30,產業前景,薪資,-0.03596470860302731,組織文化與制度
31,多元性,薪資,-0.03596470860302725,組織文化與制度
32,變化性,薪資,-0.06295190297525792,組織文化與制度
33,工學院,薪資,-0.0359647086030273,科系專業
34,面試,薪資,-0.035964708603027314,招募資訊
35,工作,薪資,-0.01860116358430294,招募資訊
36,離職,薪資,-0.051128771471846385,招募資訊
37,畢業,薪資,-0.035964708603027355,招募資訊
38,正向,薪資,0.07078287397104724,情緒
39,負向,薪資,0.0938914393298212,情緒
40,學習成長,福利,-0.10868581295531014,成長價值
41,薪資,福利,0.25351950840719895,經濟報酬
42,福利,福利,1.0,經濟報酬
43,管理制度,福利,0.12657999412548132,經濟報酬
44,工作氛圍,福利,0.005828639031660125,人際價值
45,同事互動,福利,-0.031198508282856228,人際價值
46,主管風格,福利,0.1000583033768317,人際價值
47,工作地點,福利,0.1633591223786275,組織文化與制度
48,公司規模,福利,-0.03699876702021396,組織文化與制度
49,工作環境,福利,0.17241147733639844,組織文化與制度
50,產業前景,福利,-0.03699876702021394,組織文化與制度
51,多元性,福利,-0.03699876702021393,組織文化與制度
52,變化性,福利,-0.06476189804203311,組織文化與制度
53,工學院,福利,-0.03699876702021397,科系專業
54,面試,福利,0.23906895613061285,招募資訊
55,工作,福利,0.27741516450081977,招募資訊
56,離職,福利,-0.05259882749494522,招募資訊
57,畢業,福利,-0.036998767020213985,招募資訊
58,正向,福利,0.18881078312558688,情緒
59,負向,福利,-0.01160387423058477,情緒
60,學習成長,管理制度,-0.08452976656049928,成長價值
61,薪資,管理制度,0.09338985378004737,經濟報酬
62,福利,管理制度,0.12657999412548132,經濟報酬
63,管理制度,管理制度,1.0,經濟報酬
64,工作氛圍,管理制度,0.026519164529304716,人際價值
65,同事互動,管理制度,0.08985203275058466,人際價值
66,主管風格,管理制度,0.12179171857902911,人際價值
67,工作地點,管理制度,-0.04652594492489756,組織文化與制度
68,公司規模,管理制度,-0.02877557846975822,組織文化與制度
69,工作環境,管理制度,-0.017281689108307383,組織文化與制度
70,產業前景,管理制度,-0.02877557846975822,組織文化與制度
71,多元性,管理制度,-0.028775578469758173,組織文化與制度
72,變化性,管理制度,-0.05036819410605926,組織文化與制度
73,工學院,管理制度,-0.02877557846975822,科系專業
74,面試,管理制度,0.2503475326868962,招募資訊
75,工作,管理制度,0.2627404665265845,招募資訊
76,離職,管理制度,0.15749747810809264,招募資訊
77,畢業,管理制度,0.25034753268689636,招募資訊
78,正向,管理制度,0.334393958888484,情緒
79,負向,管理制度,0.1986305753154864,情緒
80,學習成長,工作氛圍,0.05352790598057033,成長價值
81,薪資,工作氛圍,-0.08593035313507294,經濟報酬
82,福利,工作氛圍,0.005828639031660125,經濟報酬
83,管理制度,工作氛圍,0.02651916452930472,經濟報酬
84,工作氛圍,工作氛圍,1.0,人際價值
85,同事互動,工作氛圍,-0.08267511503280091,人際價值
86,主管風格,工作氛圍,0.17597087378640774,人際價值
87,工作地點,工作氛圍,-0.04024111049097671,組織文化與制度
88,公司規模,工作氛圍,-0.024888505424500093,組織文化與制度
89,工作環境,工作氛圍,0.10212398470695892,組織文化與制度
90,產業前景,工作氛圍,-0.024888505424500128,組織文化與制度
91,多元性,工作氛圍,-0.024888505424500114,組織文化與制度
92,變化性,工作氛圍,-0.04356433958568018,組織文化與制度
93,工學院,工作氛圍,-0.024888505424500107,科系專業
94,面試,工作氛圍,-0.024888505424500107,招募資訊
95,工作,工作氛圍,0.028291175136572425,招募資訊
96,離職,工作氛圍,-0.035382427817528914,招募資訊
97,畢業,工作氛圍,-0.024888505424500135,招募資訊
98,正向,工作氛圍,0.0756768689792286,情緒
99,負向,工作氛圍,0.14563815976782496,情緒
100,學習成長,同事互動,0.021599778532402726,成長價值
101,薪資,同事互動,-0.11946825934953306,經濟報酬
