,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,-0.08687976106940165,經濟報酬
2,管理制度,薪資,-0.03361819371061992,經濟報酬
3,同事互動,薪資,-0.0685679302968774,人際價值
4,主管風格,薪資,-0.0771775199960017,人際價值
5,公司規模,薪資,-0.03361819371061992,組織文化與制度
6,工作環境,薪資,-0.06460627768351841,組織文化與制度
7,產業前景,薪資,-0.03361819371061988,組織文化與制度
8,變化性,薪資,-0.04785103236071046,組織文化與制度
9,面試,薪資,-0.09257728676678459,招募資訊
10,學經歷,薪資,-0.03361819371061996,招募資訊
11,徵才,薪資,0.18841343992029766,招募資訊
12,實習,薪資,-0.0554943704521101,招募資訊
13,工作,薪資,-0.11941628680530647,招募資訊
14,離職,薪資,-0.03361819371061993,招募資訊
15,正向,薪資,-0.06250474517210883,情緒
16,負向,薪資,-0.07448424850380116,情緒
17,薪資,福利,-0.08687976106940165,經濟報酬
18,福利,福利,1.0,經濟報酬
19,管理制度,福利,-0.03313215160282372,經濟報酬
20,同事互動,福利,-0.06757659502004505,人際價值
21,主管風格,福利,-0.07606170976490359,人際價值
22,公司規模,福利,-0.03313215160282372,組織文化與制度
23,工作環境,福利,-0.06367221883275237,組織文化與制度
24,產業前景,福利,-0.033132151602823755,組織文化與制度
25,變化性,福利,-0.04715921599398289,組織文化與制度
26,面試,福利,-0.09123883116796493,招募資訊
27,學經歷,福利,-0.033132151602823685,招募資訊
28,徵才,福利,-0.047159215993982824,招募資訊
29,實習,福利,-0.05469204891700503,招募資訊
30,工作,福利,-0.11768980071733695,招募資訊
31,離職,福利,-0.03313215160282371,招募資訊
32,正向,福利,0.24666015020400323,情緒
33,負向,福利,0.028800442090179155,情緒
34,薪資,管理制度,-0.03361819371061992,經濟報酬
35,福利,管理制度,-0.03313215160282372,經濟報酬
36,管理制度,管理制度,0.9999999999999999,經濟報酬
37,同事互動,管理制度,0.4902903378454598,人際價值
38,主管風格,管理制度,0.4355956723196288,人際價值
39,公司規模,管理制度,-0.012820512820512837,組織文化與制度
40,工作環境,管理制度,-0.02463801649954513,組織文化與制度
41,產業前景,管理制度,-0.012820512820512829,組織文化與制度
42,變化性,管理制度,0.7025594235292443,組織文化與制度
43,面試,管理制度,-0.03530493940568011,招募資訊
44,學經歷,管理制度,-0.01282051282051282,招募資訊
45,徵才,管理制度,-0.01824829671504528,招募資訊
46,實習,管理制度,-0.02116313249818696,招募資訊
47,工作,管理制度,0.28152101032441457,招募資訊
48,離職,管理制度,-0.01282051282051283,招募資訊
49,正向,管理制度,0.06415828124833067,情緒
50,負向,管理制度,0.8227667842441903,情緒
51,薪資,同事互動,-0.0685679302968774,經濟報酬
52,福利,同事互動,-0.06757659502004505,經濟報酬
53,管理制度,同事互動,0.4902903378454598,經濟報酬
54,同事互動,同事互動,1.0,人際價值
55,主管風格,同事互動,0.41420715537948827,人際價值
56,公司規模,同事互動,-0.02614881801842457,組織文化與制度
57,工作環境,同事互動,-0.050251890762960674,組織文化與制度
58,產業前景,同事互動,-0.026148818018424558,組織文化與制度
59,變化性,同事互動,0.33032189469145734,組織文化與制度
60,面試,同事互動,-0.07200822998230952,招募資訊
61,學經歷,同事互動,-0.026148818018424533,招募資訊
62,徵才,同事互動,-0.03721936841593878,招募資訊
63,實習,同事互動,-0.043164490230801954,招募資訊
64,工作,同事互動,0.32403875398167514,招募資訊
65,離職,同事互動,-0.02614881801842457,招募資訊
66,正向,同事互動,0.02317272323643669,情緒
67,負向,同事互動,0.41553486128733297,情緒
68,薪資,主管風格,-0.0771775199960017,經濟報酬
69,福利,主管風格,-0.07606170976490358,經濟報酬
70,管理制度,主管風格,0.4355956723196288,經濟報酬
71,同事互動,主管風格,0.41420715537948827,人際價值
72,主管風格,主管風格,1.0,人際價值
73,公司規模,主管風格,-0.029432140021596578,組織文化與制度
74,工作環境,主管風格,-0.05656166501458342,組織文化與制度
75,產業前景,主管風格,-0.029432140021596588,組織文化與制度
76,變化性,主管風格,0.2890599134360103,組織文化與制度
77,面試,主管風格,-0.08104979376327286,招募資訊
78,學經歷,主管風格,-0.029432140021596574,招募資訊
79,徵才,主管風格,-0.04189274107768265,招募資訊
80,實習,主管風格,0.14332383179381336,招募資訊
81,工作,主管風格,0.1207041117120228,招募資訊
82,離職,主管風格,-0.02943214002159657,招募資訊
83,正向,主管風格,0.08264527580479303,情緒
84,負向,主管風格,0.29717614050605123,情緒
85,薪資,公司規模,-0.03361819371061992,經濟報酬
86,福利,公司規模,-0.03313215160282372,經濟報酬
87,管理制度,公司規模,-0.012820512820512837,經濟報酬
88,同事互動,公司規模,-0.026148818018424568,人際價值
89,主管風格,公司規模,-0.029432140021596578,人際價值
90,公司規模,公司規模,0.9999999999999999,組織文化與制度
91,工作環境,公司規模,-0.02463801649954513,組織文化與制度
92,產業前景,公司規模,-0.012820512820512824,組織文化與制度
93,變化性,公司規模,-0.018248296715045326,組織文化與制度
94,面試,公司規模,-0.03530493940568011,招募資訊
95,學經歷,公司規模,-0.01282051282051282,招募資訊
96,徵才,公司規模,-0.01824829671504528,招募資訊
97,實習,公司規模,-0.021163132498186965,招募資訊
98,工作,公司規模,-0.04554016343483175,招募資訊
99,離職,公司規模,-0.012820512820512836,招募資訊
100,正向,公司規模,-0.07663350260217273,情緒
101,負向,公司規模,-0.04388089515969015,情緒
102,薪資,工作環境,-0.06460627768351841,經濟報酬
103,福利,工作環境,-0.06367221883275237,經濟報酬
104,管理制度,工作環境,-0.02463801649954513,經濟報酬
105,同事互動,工作環境,-0.05025189076296068,人際價值
106,主管風格,工作環境,-0.056561665014583415,人際價值
107,公司規模,工作環境,-0.02463801649954513,組織文化與制度
108,工作環境,工作環境,1.0,組織文化與制度
109,產業前景,工作環境,-0.024638016499545123,組織文化與制度
110,變化性,工作環境,-0.03506894317320275,組織文化與制度
111,面試,工作環境,-0.06784780700822182,招募資訊
112,學經歷,工作環境,-0.024638016499545133,招募資訊
113,徵才,工作環境,-0.035068943173202756,招募資訊
114,實習,工作環境,-0.04067057339844653,招募資訊
115,工作,工作環境,0.16389641892600537,招募資訊
116,離職,工作環境,-0.02463801649954513,招募資訊
117,正向,工作環境,0.09624028148497761,情緒
118,負向,工作環境,-0.03674325461291526,情緒
119,薪資,產業前景,-0.03361819371061988,經濟報酬
120,福利,產業前景,-0.033132151602823755,經濟報酬
121,管理制度,產業前景,-0.012820512820512829,經濟報酬
122,同事互動,產業前景,-0.026148818018424558,人際價值
123,主管風格,產業前景,-0.029432140021596588,人際價值
124,公司規模,產業前景,-0.012820512820512824,組織文化與制度
125,工作環境,產業前景,-0.024638016499545123,組織文化與制度
126,產業前景,產業前景,1.0,組織文化與制度
127,變化性,產業前景,-0.018248296715045353,組織文化與制度
128,面試,產業前景,-0.03530493940568007,招募資訊
129,學經歷,產業前景,-0.012820512820512803,招募資訊
130,徵才,產業前景,-0.018248296715045256,招募資訊
131,實習,產業前景,0.39680873434100516,招募資訊
132,工作,產業前景,-0.04554016343483166,招募資訊
133,離職,產業前景,-0.012820512820512818,招募資訊
134,正向,產業前景,0.06415828124833065,情緒
135,負向,產業前景,-0.04388089515969011,情緒
136,薪資,變化性,-0.047851032360710456,經濟報酬
137,福利,變化性,-0.04715921599398289,經濟報酬
138,管理制度,變化性,0.7025594235292443,經濟報酬
139,同事互動,變化性,0.3303218946914573,人際價值
140,主管風格,變化性,0.2890599134360103,人際價值
141,公司規模,變化性,-0.018248296715045326,組織文化與制度
142,工作環境,變化性,-0.03506894317320275,組織文化與制度
143,產業前景,變化性,-0.018248296715045353,組織文化與制度
144,變化性,變化性,1.0,組織文化與制度
145,面試,變化性,-0.0502518907629605,招募資訊
146,學經歷,變化性,-0.01824829671504529,招募資訊
147,徵才,變化性,-0.025974025974025938,招募資訊
148,實習,變化性,-0.03012290745724526,招募資訊
149,工作,變化性,0.1679436920112428,招募資訊
150,離職,變化性,-0.018248296715045294,招募資訊
151,正向,變化性,0.04122118971833757,情緒
152,負向,變化性,0.554320291635857,情緒
153,薪資,面試,-0.09257728676678459,經濟報酬
154,福利,面試,-0.09123883116796494,經濟報酬
155,管理制度,面試,-0.03530493940568011,經濟報酬
156,同事互動,面試,-0.07200822998230952,人際價值
157,主管風格,面試,-0.08104979376327286,人際價值
158,公司規模,面試,-0.03530493940568011,組織文化與制度
159,工作環境,面試,-0.06784780700822182,組織文化與制度
160,產業前景,面試,-0.03530493940568008,組織文化與制度
161,變化性,面試,-0.0502518907629605,組織文化與制度
162,面試,面試,0.9999999999999998,招募資訊
163,學經歷,面試,-0.035304939405680136,招募資訊
164,徵才,面試,0.23331234997088848,招募資訊
165,實習,面試,0.2705797835820114,招募資訊
166,工作,面試,-0.1254078314261375,招募資訊
167,離職,面試,-0.035304939405680115,招募資訊
168,正向,面試,0.03821015114909786,情緒
169,負向,面試,-0.02342788464097508,情緒
170,薪資,學經歷,-0.03361819371061996,經濟報酬
171,福利,學經歷,-0.033132151602823685,經濟報酬
172,管理制度,學經歷,-0.01282051282051282,經濟報酬
173,同事互動,學經歷,-0.026148818018424533,人際價值
174,主管風格,學經歷,-0.029432140021596574,人際價值
175,公司規模,學經歷,-0.01282051282051282,組織文化與制度
176,工作環境,學經歷,-0.024638016499545133,組織文化與制度
177,產業前景,學經歷,-0.012820512820512803,組織文化與制度
178,變化性,學經歷,-0.01824829671504529,組織文化與制度
179,面試,學經歷,-0.035304939405680136,招募資訊
180,學經歷,學經歷,1.0,招募資訊
181,徵才,學經歷,-0.018248296715045298,招募資訊
182,實習,學經歷,-0.021163132498187,招募資訊
183,工作,學經歷,-0.0455401634348318,招募資訊
184,離職,學經歷,-0.012820512820512822,招募資訊
185,正向,學經歷,-0.07663350260217276,情緒
186,負向,學經歷,-0.04388089515969016,情緒
187,薪資,徵才,0.18841343992029766,經濟報酬
188,福利,徵才,-0.04715921599398283,經濟報酬
189,管理制度,徵才,-0.01824829671504528,經濟報酬
190,同事互動,徵才,-0.03721936841593878,人際價值
191,主管風格,徵才,-0.04189274107768265,人際價值
192,公司規模,徵才,-0.01824829671504528,組織文化與制度
193,工作環境,徵才,-0.035068943173202756,組織文化與制度
194,產業前景,徵才,-0.018248296715045253,組織文化與制度
195,變化性,徵才,-0.025974025974025938,組織文化與制度
196,面試,徵才,0.23331234997088846,招募資訊
197,學經歷,徵才,-0.018248296715045298,招募資訊
198,徵才,徵才,1.0,招募資訊
199,實習,徵才,0.5648045148233474,招募資訊
200,工作,徵才,-0.0648203723552163,招募資訊
201,離職,徵才,-0.01824829671504528,招募資訊
202,正向,徵才,0.24161958896440902,情緒
203,負向,徵才,0.025652649311116146,情緒
204,薪資,實習,-0.0554943704521101,經濟報酬
205,福利,實習,-0.05469204891700503,經濟報酬
206,管理制度,實習,-0.02116313249818696,經濟報酬
207,同事互動,實習,-0.043164490230801954,人際價值
208,主管風格,實習,0.14332383179381336,人際價值
