,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.5773502691896257,經濟報酬
2,同事互動,學習成長,-0.5773502691896257,人際價值
3,產業前景,學習成長,0.5773502691896257,組織文化與制度
4,正向,學習成長,0.6882472016116854,情緒
5,負向,學習成長,-0.40824829046386296,情緒
6,學習成長,薪資,0.5773502691896257,成長價值
7,薪資,薪資,1.0,經濟報酬
8,同事互動,薪資,-0.3333333333333333,人際價值
9,產業前景,薪資,-0.3333333333333333,組織文化與制度
10,正向,薪資,-0.13245323570650439,情緒
11,負向,薪資,0.0,情緒
12,學習成長,同事互動,-0.5773502691896257,成長價值
13,薪資,同事互動,-0.3333333333333333,經濟報酬
14,同事互動,同事互動,1.0,人際價值
15,產業前景,同事互動,-0.3333333333333333,組織文化與制度
16,正向,同事互動,-0.6622661785325219,情緒
17,負向,同事互動,-0.4714045207910316,情緒
18,學習成長,產業前景,0.5773502691896257,成長價值
19,薪資,產業前景,-0.3333333333333333,經濟報酬
20,同事互動,產業前景,-0.3333333333333333,人際價值
21,產業前景,產業前景,1.0,組織文化與制度
22,正向,產業前景,0.9271726499455306,情緒
23,負向,產業前景,-0.4714045207910316,情緒
24,學習成長,正向,0.6882472016116854,成長價值
25,薪資,正向,-0.13245323570650439,經濟報酬
26,同事互動,正向,-0.6622661785325219,人際價值
27,產業前景,正向,0.9271726499455306,組織文化與制度
28,正向,正向,1.0,情緒
29,負向,正向,-0.18731716231633877,情緒
30,學習成長,負向,-0.40824829046386296,成長價值
31,薪資,負向,0.0,經濟報酬
32,同事互動,負向,-0.4714045207910316,人際價值
33,產業前景,負向,-0.4714045207910316,組織文化與制度
34,正向,負向,-0.1873171623163388,情緒
35,負向,負向,0.9999999999999999,情緒
