,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,-0.20851441405707477,經濟報酬
2,管理制度,薪資,-0.25021729686848976,經濟報酬
3,同事互動,薪資,-0.13987572123604713,人際價值
4,主管風格,薪資,0.5316095330711951,人際價值
5,公司規模,薪資,-0.13987572123604705,組織文化與制度
6,工作環境,薪資,-0.13987572123604708,組織文化與制度
7,產業前景,薪資,0.8212037373078392,組織文化與制度
8,多元性,薪資,-0.13987572123604705,組織文化與制度
9,工作,薪資,0.5560384374855327,招募資訊
10,離職,薪資,-0.13987572123604705,招募資訊
11,正向,薪資,0.09501192571463304,情緒
12,負向,薪資,-0.15207476616811835,情緒
13,薪資,福利,-0.20851441405707477,經濟報酬
14,福利,福利,1.0,經濟報酬
15,管理制度,福利,0.1,經濟報酬
16,同事互動,福利,-0.14907119849998604,人際價值
17,主管風格,福利,-0.3922322702763682,人際價值
18,公司規模,福利,-0.149071198499986,組織文化與制度
19,工作環境,福利,-0.14907119849998604,組織文化與制度
20,產業前景,福利,-0.19448665533052614,組織文化與制度
21,多元性,福利,0.6708203932499368,組織文化與制度
22,工作,福利,-0.22222222222222235,招募資訊
23,離職,福利,-0.149071198499986,招募資訊
24,正向,福利,0.0216981518301373,情緒
25,負向,福利,-0.3403516468284206,情緒
26,薪資,管理制度,-0.2502172968684897,經濟報酬
27,福利,管理制度,0.1,經濟報酬
28,管理制度,管理制度,1.0,經濟報酬
29,同事互動,管理制度,-0.17888543819998323,人際價值
30,主管風格,管理制度,-0.4706787243316418,人際價值
31,公司規模,管理制度,-0.1788854381999832,組織文化與制度
32,工作環境,管理制度,0.8049844718999243,組織文化與制度
33,產業前景,管理制度,-0.23338398639663135,組織文化與制度
34,多元性,管理制度,0.3130495168499706,組織文化與制度
35,工作,管理制度,-0.2666666666666668,招募資訊
36,離職,管理制度,0.3130495168499706,招募資訊
37,正向,管理制度,-0.47518952508000717,情緒
38,負向,管理制度,0.07293249574894729,情緒
39,薪資,同事互動,-0.13987572123604713,經濟報酬
40,福利,同事互動,-0.149071198499986,經濟報酬
41,管理制度,同事互動,-0.1788854381999832,經濟報酬
42,同事互動,同事互動,1.0,人際價值
43,主管風格,同事互動,0.21926450482675733,人際價值
44,公司規模,同事互動,-0.10000000000000003,組織文化與制度
45,工作環境,同事互動,-0.1,組織文化與制度
46,產業前景,同事互動,0.22831482556870475,組織文化與制度
47,多元性,同事互動,-0.09999999999999999,組織文化與制度
48,工作,同事互動,0.6708203932499369,招募資訊
49,離職,同事互動,-0.10000000000000002,招募資訊
50,正向,同事互動,0.3347779431002597,情緒
51,負向,同事互動,0.8480264949694751,情緒
52,薪資,主管風格,0.5316095330711951,經濟報酬
53,福利,主管風格,-0.39223227027636814,經濟報酬
54,管理制度,主管風格,-0.47067872433164176,經濟報酬
55,同事互動,主管風格,0.2192645048267573,人際價值
56,主管風格,主管風格,0.9999999999999999,人際價值
57,公司規模,主管風格,0.2192645048267573,組織文化與制度
58,工作環境,主管風格,-0.2631174057921088,組織文化與制度
59,產業前景,主管風格,0.7580716771900756,組織文化與制度
60,多元性,主管風格,-0.2631174057921088,組織文化與制度
61,工作,主管風格,0.6864064729836442,招募資訊
62,離職,主管風格,-0.2631174057921088,招募資訊
63,正向,主管風格,0.6000054323960943,情緒
64,負向,主管風格,0.028606478384531155,情緒
65,薪資,公司規模,-0.13987572123604705,經濟報酬
66,福利,公司規模,-0.14907119849998604,經濟報酬
67,管理制度,公司規模,-0.1788854381999832,經濟報酬
68,同事互動,公司規模,-0.10000000000000003,人際價值
69,主管風格,公司規模,0.2192645048267573,人際價值
70,公司規模,公司規模,0.9999999999999998,組織文化與制度
71,工作環境,公司規模,-0.10000000000000003,組織文化與制度
72,產業前景,公司規模,-0.13046561461068845,組織文化與制度
73,多元性,公司規模,-0.1,組織文化與制度
74,工作,公司規模,-0.14907119849998604,招募資訊
75,離職,公司規模,-0.1,招募資訊
76,正向,公司規模,-0.1455556274348955,情緒
77,負向,公司規模,-0.22831482556870478,情緒
78,薪資,工作環境,-0.13987572123604708,經濟報酬
79,福利,工作環境,-0.14907119849998607,經濟報酬
80,管理制度,工作環境,0.8049844718999242,經濟報酬
81,同事互動,工作環境,-0.10000000000000002,人際價值
82,主管風格,工作環境,-0.2631174057921088,人際價值
83,公司規模,工作環境,-0.10000000000000002,組織文化與制度
84,工作環境,工作環境,1.0,組織文化與制度
85,產業前景,工作環境,-0.13046561461068848,組織文化與制度
86,多元性,工作環境,-0.10000000000000002,組織文化與制度
87,工作,工作環境,-0.14907119849998607,招募資訊
88,離職,工作環境,-0.10000000000000002,招募資訊
89,正向,工作環境,-0.4657780077916658,情緒
90,負向,工作環境,0.1304656146106885,情緒
91,薪資,產業前景,0.8212037373078392,經濟報酬
92,福利,產業前景,-0.19448665533052617,經濟報酬
93,管理制度,產業前景,-0.23338398639663135,經濟報酬
94,同事互動,產業前景,0.22831482556870475,人際價值
95,主管風格,產業前景,0.7580716771900757,人際價值
96,公司規模,產業前景,-0.13046561461068845,組織文化與制度
97,工作環境,產業前景,-0.1304656146106885,組織文化與制度
98,產業前景,產業前景,1.0,組織文化與制度
99,多元性,產業前景,-0.13046561461068845,組織文化與制度
100,工作,產業前景,0.8751899489873672,招募資訊
101,離職,產業前景,-0.13046561461068845,招募資訊
102,正向,產業前景,0.4367701010467747,情緒
103,負向,產業前景,0.05319148936170214,情緒
104,薪資,多元性,-0.13987572123604705,經濟報酬
105,福利,多元性,0.6708203932499368,經濟報酬
106,管理制度,多元性,0.3130495168499706,經濟報酬
107,同事互動,多元性,-0.09999999999999999,人際價值
108,主管風格,多元性,-0.2631174057921088,人際價值
109,公司規模,多元性,-0.1,組織文化與制度
110,工作環境,多元性,-0.10000000000000003,組織文化與制度
111,產業前景,多元性,-0.13046561461068845,組織文化與制度
112,多元性,多元性,0.9999999999999998,組織文化與制度
113,工作,多元性,-0.14907119849998604,招募資訊
114,離職,多元性,-0.1,招募資訊
115,正向,多元性,0.17466675292187464,情緒
116,負向,多元性,-0.22831482556870478,情緒
117,薪資,工作,0.5560384374855328,經濟報酬
118,福利,工作,-0.22222222222222235,經濟報酬
119,管理制度,工作,-0.2666666666666668,經濟報酬
120,同事互動,工作,0.6708203932499369,人際價值
121,主管風格,工作,0.6864064729836442,人際價值
122,公司規模,工作,-0.149071198499986,組織文化與制度
123,工作環境,工作,-0.14907119849998604,組織文化與制度
124,產業前景,工作,0.8751899489873672,組織文化與制度
125,多元性,工作,-0.149071198499986,組織文化與制度
126,工作,工作,1.0,招募資訊
127,離職,工作,-0.149071198499986,招募資訊
128,正向,工作,0.49905749209315836,情緒
129,負向,工作,0.4619058064099995,情緒
130,薪資,離職,-0.13987572123604705,經濟報酬
131,福利,離職,-0.14907119849998604,經濟報酬
132,管理制度,離職,0.3130495168499706,經濟報酬
133,同事互動,離職,-0.10000000000000002,人際價值
134,主管風格,離職,-0.2631174057921088,人際價值
135,公司規模,離職,-0.1,組織文化與制度
136,工作環境,離職,-0.10000000000000003,組織文化與制度
137,產業前景,離職,-0.13046561461068845,組織文化與制度
138,多元性,離職,-0.1,組織文化與制度
139,工作,離職,-0.14907119849998604,招募資訊
140,離職,離職,0.9999999999999998,招募資訊
141,正向,離職,-0.3056668176132806,情緒
142,負向,離職,0.13046561461068845,情緒
143,薪資,正向,0.09501192571463304,經濟報酬
144,福利,正向,0.021698151830137298,經濟報酬
145,管理制度,正向,-0.4751895250800072,經濟報酬
146,同事互動,正向,0.3347779431002597,人際價值
147,主管風格,正向,0.6000054323960943,人際價值
148,公司規模,正向,-0.14555562743489547,組織文化與制度
149,工作環境,正向,-0.4657780077916658,組織文化與制度
150,產業前景,正向,0.4367701010467747,組織文化與制度
151,多元性,正向,0.17466675292187464,組織文化與制度
152,工作,正向,0.49905749209315836,招募資訊
153,離職,正向,-0.3056668176132806,招募資訊
154,正向,正向,1.0,情緒
155,負向,正向,-0.0712125164750176,情緒
156,薪資,負向,-0.15207476616811835,經濟報酬
157,福利,負向,-0.3403516468284206,經濟報酬
158,管理制度,負向,0.07293249574894729,經濟報酬
159,同事互動,負向,0.8480264949694751,人際價值
160,主管風格,負向,0.02860647838453115,人際價值
161,公司規模,負向,-0.22831482556870478,組織文化與制度
162,工作環境,負向,0.1304656146106885,組織文化與制度
163,產業前景,負向,0.05319148936170214,組織文化與制度
164,多元性,負向,-0.22831482556870478,組織文化與制度
165,工作,負向,0.4619058064099995,招募資訊
166,離職,負向,0.13046561461068845,招募資訊
167,正向,負向,-0.0712125164750176,情緒
168,負向,負向,0.9999999999999999,情緒
