,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.08425025794964598,經濟報酬
2,福利,學習成長,0.3267177699464638,經濟報酬
3,管理制度,學習成長,0.35335713557365866,經濟報酬
4,同事互動,學習成長,-0.045163875217714464,人際價值
5,主管風格,學習成長,0.03255757607711238,人際價值
6,工作地點,學習成長,-0.06475239082381759,組織文化與制度
7,公司規模,學習成長,-0.04516387521771443,組織文化與制度
8,工作環境,學習成長,0.38389293935057245,組織文化與制度
9,多元性,學習成長,-0.045163875217714464,組織文化與制度
10,變化性,學習成長,-0.045163875217714464,組織文化與制度
11,空間,學習成長,0.38389293935057256,產品與服務
12,學經歷,學習成長,-0.04516387521771443,招募資訊
13,實習,學習成長,-0.04516387521771444,招募資訊
14,工作,學習成長,-0.02490486677579934,招募資訊
15,新鮮人,學習成長,-0.04516387521771443,招募資訊
16,畢業,學習成長,-0.04516387521771443,招募資訊
17,正向,學習成長,0.33552999086981333,情緒
18,負向,學習成長,0.008658095191285003,情緒
19,學習成長,薪資,-0.08425025794964597,成長價值
20,薪資,薪資,1.0,經濟報酬
21,福利,薪資,-0.0683850463556393,經濟報酬
22,管理制度,薪資,-0.10518885203218188,經濟報酬
23,同事互動,薪資,-0.05041715281654946,人際價值
24,主管風格,薪資,-0.1017647131786131,人際價值
25,工作地點,薪資,-0.07228412459435873,組織文化與制度
26,公司規模,薪資,-0.050417152816549356,組織文化與制度
27,工作環境,薪資,-0.05041715281654934,組織文化與制度
28,多元性,薪資,-0.05041715281654945,組織文化與制度
29,變化性,薪資,-0.05041715281654946,組織文化與制度
30,空間,薪資,-0.050417152816549356,產品與服務
31,學經歷,薪資,-0.05041715281654935,招募資訊
32,實習,薪資,-0.05041715281654937,招募資訊
33,工作,薪資,0.014121498013120147,招募資訊
34,新鮮人,薪資,-0.05041715281654935,招募資訊
35,畢業,薪資,-0.05041715281654935,招募資訊
36,正向,薪資,0.04712338659602311,情緒
37,負向,薪資,-0.03192536817831258,情緒
38,學習成長,福利,0.3267177699464638,成長價值
39,薪資,福利,-0.0683850463556393,經濟報酬
40,福利,福利,1.0,經濟報酬
41,管理制度,福利,-0.0764843366556588,經濟報酬
42,同事互動,福利,-0.03665904147391027,人際價值
43,主管風格,福利,-0.07399459573946415,人際價值
44,工作地點,福利,-0.052558833122763736,組織文化與制度
45,公司規模,福利,-0.036659041473910324,組織文化與制度
46,工作環境,福利,0.8920366758651497,組織文化與制度
47,多元性,福利,-0.03665904147391027,組織文化與制度
48,變化性,福利,-0.03665904147391027,組織文化與制度
49,空間,福利,-0.036659041473910324,產品與服務
50,學經歷,福利,-0.03665904147391034,招募資訊
51,實習,福利,-0.03665904147391032,招募資訊
52,工作,福利,-0.0628911666675186,招募資訊
53,新鮮人,福利,-0.03665904147391034,招募資訊
54,畢業,福利,-0.03665904147391034,招募資訊
55,正向,福利,0.42248096463172463,情緒
56,負向,福利,-0.037480984575671006,情緒
57,學習成長,管理制度,0.35335713557365866,成長價值
58,薪資,管理制度,-0.10518885203218188,經濟報酬
59,福利,管理制度,-0.07648433665565882,經濟報酬
60,管理制度,管理制度,0.9999999999999998,經濟報酬
61,同事互動,管理制度,-0.05638838744346007,人際價值
62,主管風格,管理制度,0.040649063110865705,人際價值
