,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.08084520834544436,成長價值
2,薪資,學習成長,-0.08084520834544431,經濟報酬
3,福利,學習成長,-0.07624928516630226,經濟報酬
4,管理制度,學習成長,-0.08084520834544431,經濟報酬
5,主管風格,學習成長,-0.055555555555555546,人際價值
6,公司規模,學習成長,-0.055555555555555546,組織文化與制度
7,工作環境,學習成長,-0.08084520834544436,組織文化與制度
8,產業前景,學習成長,-0.05555555555555554,組織文化與制度
9,理學院,學習成長,1.0,科系專業
10,管理學院/商學院,學習成長,-0.05555555555555556,科系專業
11,社會學院,學習成長,-0.05555555555555556,科系專業
12,面試,學習成長,-0.05555555555555554,招募資訊
13,實習,學習成長,0.5443310539518175,招募資訊
14,工作,學習成長,-0.05555555555555556,招募資訊
15,能力,學習成長,0.8895749936068602,招募資訊
16,招募人員,學習成長,-0.055555555555555546,招募資訊
17,正向,學習成長,0.11895773785772161,情緒
18,負向,學習成長,0.35714285714285726,情緒
19,學習成長,創新,-0.08084520834544436,成長價值
20,創新,創新,1.0,成長價值
21,薪資,創新,-0.11764705882352945,經濟報酬
22,福利,創新,-0.1109590082182963,經濟報酬
23,管理制度,創新,-0.11764705882352945,經濟報酬
24,主管風格,創新,-0.08084520834544433,人際價值
25,公司規模,創新,-0.08084520834544434,組織文化與制度
26,工作環境,創新,-0.11764705882352948,組織文化與制度
27,產業前景,創新,0.6871842709362767,組織文化與制度
28,理學院,創新,-0.08084520834544436,科系專業
29,管理學院/商學院,創新,-0.08084520834544434,科系專業
30,社會學院,創新,-0.08084520834544434,科系專業
31,面試,創新,-0.08084520834544434,招募資訊
32,實習,創新,0.321797951467419,招募資訊
33,工作,創新,-0.08084520834544434,招募資訊
34,能力,創新,-0.11095900821829636,招募資訊
35,招募人員,創新,-0.08084520834544433,招募資訊
36,正向,創新,-0.009617163101410248,情緒
37,負向,創新,-0.1385917857350474,情緒
38,學習成長,薪資,-0.08084520834544431,成長價值
39,創新,薪資,-0.11764705882352942,成長價值
40,薪資,薪資,1.0,經濟報酬
41,福利,薪資,-0.11095900821829631,經濟報酬
42,管理制度,薪資,-0.11764705882352942,經濟報酬
43,主管風格,薪資,-0.08084520834544431,人際價值
44,公司規模,薪資,-0.08084520834544431,組織文化與制度
45,工作環境,薪資,-0.11764705882352942,組織文化與制度
46,產業前景,薪資,-0.08084520834544431,組織文化與制度
47,理學院,薪資,-0.08084520834544431,科系專業
48,管理學院/商學院,薪資,-0.08084520834544431,科系專業
49,社會學院,薪資,0.6871842709362769,科系專業
50,面試,薪資,-0.08084520834544431,招募資訊
51,實習,薪資,-0.14852213144650114,招募資訊
52,工作,薪資,-0.08084520834544431,招募資訊
53,能力,薪資,-0.11095900821829636,招募資訊
54,招募人員,薪資,-0.08084520834544431,招募資訊
55,正向,薪資,-0.009617163101410257,情緒
56,負向,薪資,0.519719196506428,情緒
57,學習成長,福利,-0.07624928516630226,成長價值
58,創新,福利,-0.11095900821829631,成長價值
59,薪資,福利,-0.11095900821829631,經濟報酬
60,福利,福利,1.0,經濟報酬
61,管理制度,福利,-0.11095900821829628,經濟報酬
62,主管風格,福利,-0.07624928516630226,人際價值
63,公司規模,福利,-0.07624928516630228,組織文化與制度
64,工作環境,福利,-0.11095900821829636,組織文化與制度
65,產業前景,福利,-0.07624928516630226,組織文化與制度
66,理學院,福利,-0.07624928516630226,科系專業
