,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,1.0,經濟報酬
2,管理制度,薪資,-0.3333333333333333,經濟報酬
3,公司規模,薪資,1.0,組織文化與制度
4,面試,薪資,-0.3333333333333333,招募資訊
5,正向,薪資,-0.3942711277628741,情緒
6,負向,薪資,0.5002574002744499,情緒
7,薪資,福利,1.0,經濟報酬
8,福利,福利,1.0,經濟報酬
9,管理制度,福利,-0.3333333333333333,經濟報酬
10,公司規模,福利,1.0,組織文化與制度
11,面試,福利,-0.3333333333333333,招募資訊
12,正向,福利,-0.3942711277628741,情緒
13,負向,福利,0.5002574002744499,情緒
14,薪資,管理制度,-0.3333333333333333,經濟報酬
15,福利,管理制度,-0.3333333333333333,經濟報酬
16,管理制度,管理制度,1.0,經濟報酬
17,公司規模,管理制度,-0.3333333333333333,組織文化與制度
18,面試,管理制度,-0.3333333333333333,招募資訊
19,正向,管理制度,0.48475958331500907,情緒
20,負向,管理制度,-0.0926402593100833,情緒
21,薪資,公司規模,1.0,經濟報酬
22,福利,公司規模,1.0,經濟報酬
23,管理制度,公司規模,-0.3333333333333333,經濟報酬
24,公司規模,公司規模,1.0,組織文化與制度
25,面試,公司規模,-0.3333333333333333,招募資訊
26,正向,公司規模,-0.3942711277628741,情緒
27,負向,公司規模,0.5002574002744499,情緒
28,薪資,面試,-0.3333333333333333,經濟報酬
29,福利,面試,-0.3333333333333333,經濟報酬
30,管理制度,面試,-0.3333333333333333,經濟報酬
31,公司規模,面試,-0.3333333333333333,組織文化與制度
32,面試,面試,1.0,招募資訊
33,正向,面試,-0.730371105527947,情緒
34,負向,面試,0.5002574002744499,情緒
35,薪資,正向,-0.3942711277628741,經濟報酬
36,福利,正向,-0.3942711277628741,經濟報酬
37,管理制度,正向,0.48475958331500907,經濟報酬
38,公司規模,正向,-0.3942711277628741,組織文化與制度
39,面試,正向,-0.730371105527947,招募資訊
40,正向,正向,1.0,情緒
41,負向,正向,-0.8913390154948025,情緒
42,薪資,負向,0.5002574002744499,經濟報酬
43,福利,負向,0.5002574002744499,經濟報酬
44,管理制度,負向,-0.0926402593100833,經濟報酬
45,公司規模,負向,0.5002574002744499,組織文化與制度
46,面試,負向,0.5002574002744499,招募資訊
47,正向,負向,-0.8913390154948024,情緒
48,負向,負向,1.0,情緒
