,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,-1.0,經濟報酬
2,工作氛圍,薪資,1.0,人際價值
3,徵才,薪資,1.0,招募資訊
4,工作,薪資,1.0,招募資訊
5,新鮮人,薪資,1.0,招募資訊
6,薪資,福利,-1.0,經濟報酬
7,福利,福利,0.9999999999999999,經濟報酬
8,工作氛圍,福利,-0.9999999999999999,人際價值
9,徵才,福利,-0.9999999999999999,招募資訊
10,工作,福利,-0.9999999999999999,招募資訊
11,新鮮人,福利,-0.9999999999999999,招募資訊
12,薪資,工作氛圍,1.0,經濟報酬
13,福利,工作氛圍,-0.9999999999999999,經濟報酬
14,工作氛圍,工作氛圍,0.9999999999999999,人際價值
15,徵才,工作氛圍,0.9999999999999999,招募資訊
16,工作,工作氛圍,0.9999999999999999,招募資訊
17,新鮮人,工作氛圍,0.9999999999999999,招募資訊
18,薪資,徵才,1.0,經濟報酬
19,福利,徵才,-0.9999999999999999,經濟報酬
20,工作氛圍,徵才,0.9999999999999999,人際價值
21,徵才,徵才,0.9999999999999999,招募資訊
22,工作,徵才,0.9999999999999999,招募資訊
23,新鮮人,徵才,0.9999999999999999,招募資訊
24,薪資,工作,1.0,經濟報酬
25,福利,工作,-0.9999999999999999,經濟報酬
26,工作氛圍,工作,0.9999999999999999,人際價值
27,徵才,工作,0.9999999999999999,招募資訊
28,工作,工作,0.9999999999999999,招募資訊
29,新鮮人,工作,0.9999999999999999,招募資訊
30,薪資,新鮮人,1.0,經濟報酬
31,福利,新鮮人,-0.9999999999999999,經濟報酬
32,工作氛圍,新鮮人,0.9999999999999999,人際價值
33,徵才,新鮮人,0.9999999999999999,招募資訊
34,工作,新鮮人,0.9999999999999999,招募資訊
35,新鮮人,新鮮人,0.9999999999999999,招募資訊
