,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,-0.13456839120487699,經濟報酬
2,管理制度,薪資,0.09859154929577466,經濟報酬
3,同事互動,薪資,-0.09192771195538434,人際價值
4,主管風格,薪資,-0.19085452377978201,人際價值
5,面試,薪資,0.8886345489020486,招募資訊
6,工作,薪資,-0.019003715589632167,招募資訊
7,離職,薪資,-0.09192771195538434,招募資訊
8,畢業,薪資,0.8886345489020486,招募資訊
9,招募人員,薪資,-0.2055566129482595,招募資訊
10,正向,薪資,-0.09192771195538434,情緒
11,負向,薪資,-0.1976476059456872,情緒
12,薪資,福利,-0.13456839120487699,經濟報酬
13,福利,福利,1.0,經濟報酬
14,管理制度,福利,-0.13456839120487699,經濟報酬
15,同事互動,福利,-0.09759000729485333,人際價值
16,主管風格,福利,0.12156613477096619,人際價值
17,面試,福利,-0.09759000729485333,招募資訊
18,工作,福利,-0.18156825980064073,招募資訊
19,離職,福利,-0.09759000729485333,招募資訊
20,畢業,福利,-0.09759000729485333,招募資訊
21,招募人員,福利,0.21821789023599242,招募資訊
22,正向,福利,-0.09759000729485333,情緒
23,負向,福利,-0.20982172726556325,情緒
24,薪資,管理制度,0.09859154929577466,經濟報酬
25,福利,管理制度,-0.13456839120487699,經濟報酬
26,管理制度,管理制度,1.0,經濟報酬
27,同事互動,管理制度,0.8886345489020486,人際價值
28,主管風格,管理制度,0.21630179361708626,人際價值
29,面試,管理制度,-0.09192771195538434,招募資訊
30,工作,管理制度,-0.019003715589632167,招募資訊
31,離職,管理制度,-0.09192771195538434,招募資訊
32,畢業,管理制度,-0.09192771195538434,招募資訊
33,招募人員,管理制度,0.34259435491376583,招募資訊
34,正向,管理制度,-0.09192771195538434,情緒
35,負向,管理制度,0.40470700265069287,情緒
36,薪資,同事互動,-0.09192771195538434,經濟報酬
37,福利,同事互動,-0.09759000729485333,經濟報酬
38,管理制度,同事互動,0.8886345489020486,經濟報酬
39,同事互動,同事互動,1.0,人際價值
40,主管風格,同事互動,0.3045000927970465,人際價值
41,面試,同事互動,-0.06666666666666667,招募資訊
42,工作,同事互動,-0.12403473458920845,招募資訊
43,離職,同事互動,-0.06666666666666667,招募資訊
44,畢業,同事互動,-0.06666666666666667,招募資訊
45,招募人員,同事互動,0.447213595499958,招募資訊
46,正向,同事互動,-0.06666666666666667,情緒
47,負向,同事互動,0.5119125973616261,情緒
48,薪資,主管風格,-0.19085452377978201,經濟報酬
49,福利,主管風格,0.12156613477096617,經濟報酬
50,管理制度,主管風格,0.21630179361708626,經濟報酬
51,同事互動,主管風格,0.3045000927970465,人際價值
52,主管風格,主管風格,0.9999999999999998,人際價值
53,面試,主管風格,-0.1384091330895666,招募資訊
54,工作,主管風格,-0.2575131013123023,招募資訊
55,離職,主管風格,0.7474093186836597,招募資訊
56,畢業,主管風格,-0.1384091330895666,招募資訊
57,招募人員,主管風格,0.9284766908852593,招募資訊
58,正向,主管風格,0.3045000927970465,情緒
59,負向,主管風格,0.5186467329510615,情緒
60,薪資,面試,0.8886345489020486,經濟報酬
61,福利,面試,-0.09759000729485333,經濟報酬
62,管理制度,面試,-0.09192771195538434,經濟報酬
63,同事互動,面試,-0.06666666666666667,人際價值
64,主管風格,面試,-0.1384091330895666,人際價值
65,面試,面試,1.0,招募資訊
66,工作,面試,-0.12403473458920845,招募資訊
67,離職,面試,-0.06666666666666667,招募資訊
68,畢業,面試,1.0,招募資訊
69,招募人員,面試,-0.14907119849998599,招募資訊
70,正向,面試,-0.06666666666666667,情緒
71,負向,面試,-0.14333552726125529,情緒
72,薪資,工作,-0.019003715589632167,經濟報酬
73,福利,工作,-0.18156825980064073,經濟報酬
74,管理制度,工作,-0.019003715589632167,經濟報酬
75,同事互動,工作,-0.12403473458920845,人際價值
76,主管風格,工作,-0.2575131013123024,人際價值
77,面試,工作,-0.12403473458920845,招募資訊
78,工作,工作,0.9999999999999999,招募資訊
79,離職,工作,-0.12403473458920845,招募資訊
80,畢業,工作,-0.12403473458920845,招募資訊
81,招募人員,工作,-0.2773500981126146,招募資訊
82,正向,工作,-0.12403473458920845,情緒
83,負向,工作,-0.26667876121581074,情緒
84,薪資,離職,-0.09192771195538434,經濟報酬
85,福利,離職,-0.09759000729485333,經濟報酬
86,管理制度,離職,-0.09192771195538434,經濟報酬
87,同事互動,離職,-0.06666666666666667,人際價值
88,主管風格,離職,0.7474093186836597,人際價值
89,面試,離職,-0.06666666666666667,招募資訊
90,工作,離職,-0.12403473458920845,招募資訊
91,離職,離職,1.0,招募資訊
92,畢業,離職,-0.06666666666666667,招募資訊
93,招募人員,離職,0.447213595499958,招募資訊
94,正向,離職,-0.06666666666666667,情緒
95,負向,離職,0.5119125973616261,情緒
96,薪資,畢業,0.8886345489020486,經濟報酬
97,福利,畢業,-0.09759000729485333,經濟報酬
98,管理制度,畢業,-0.09192771195538434,經濟報酬
99,同事互動,畢業,-0.06666666666666667,人際價值
100,主管風格,畢業,-0.1384091330895666,人際價值
101,面試,畢業,1.0,招募資訊
102,工作,畢業,-0.12403473458920845,招募資訊
103,離職,畢業,-0.06666666666666667,招募資訊
104,畢業,畢業,1.0,招募資訊
105,招募人員,畢業,-0.14907119849998599,招募資訊
106,正向,畢業,-0.06666666666666667,情緒
107,負向,畢業,-0.14333552726125529,情緒
108,薪資,招募人員,-0.2055566129482595,經濟報酬
109,福利,招募人員,0.21821789023599242,經濟報酬
110,管理制度,招募人員,0.3425943549137658,經濟報酬
111,同事互動,招募人員,0.447213595499958,人際價值
112,主管風格,招募人員,0.9284766908852593,人際價值
113,面試,招募人員,-0.14907119849998599,招募資訊
114,工作,招募人員,-0.2773500981126146,招募資訊
115,離職,招募人員,0.447213595499958,招募資訊
116,畢業,招募人員,-0.14907119849998599,招募資訊
