,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,薪資,成就感,-0.11769797726729994,經濟報酬
2,管理制度,成就感,-0.13333333333333336,經濟報酬
3,工作氛圍,成就感,-0.13333333333333336,人際價值
4,主管風格,成就感,-0.12565617248750857,人際價值
5,公司規模,成就感,-0.12565617248750865,組織文化與制度
6,實習,成就感,-0.09128709291752769,招募資訊
7,工作,成就感,-0.09128709291752769,招募資訊
8,能力,成就感,-0.09128709291752769,招募資訊
9,招募人員,成就感,-0.12565617248750857,招募資訊
10,正向,成就感,-0.1333333333333334,情緒
11,負向,成就感,-0.18926408936295352,情緒
12,成就感,薪資,-0.11769797726729996,成長價值
13,薪資,薪資,1.0,經濟報酬
14,管理制度,薪資,0.6326266278117372,經濟報酬
15,工作氛圍,薪資,-0.11769797726729996,人際價值
16,主管風格,薪資,-0.11092107999698028,人際價值
17,公司規模,薪資,0.9890462966397416,組織文化與制度
18,實習,薪資,0.9468419827298219,招募資訊
19,工作,薪資,-0.08058229640253803,招募資訊
20,能力,薪資,-0.08058229640253803,招募資訊
21,招募人員,薪資,-0.11092107999698028,招募資訊
22,正向,薪資,-0.11769797726729997,情緒
23,負向,薪資,0.1879537541120758,情緒
24,成就感,管理制度,-0.13333333333333336,成長價值
25,薪資,管理制度,0.6326266278117372,經濟報酬
26,管理制度,管理制度,1.0,經濟報酬
27,工作氛圍,管理制度,-0.13333333333333336,人際價值
28,主管風格,管理制度,-0.12565617248750863,人際價值
29,公司規模,管理制度,0.5863954716083738,組織文化與制度
30,實習,管理制度,0.6846531968814576,招募資訊
31,工作,管理制度,-0.09128709291752769,招募資訊
32,能力,管理制度,-0.0912870929175277,招募資訊
33,招募人員,管理制度,-0.12565617248750863,招募資訊
34,正向,管理制度,-0.13333333333333333,情緒
35,負向,管理制度,0.07886003723456401,情緒
36,成就感,工作氛圍,-0.13333333333333336,成長價值
37,薪資,工作氛圍,-0.11769797726729994,經濟報酬
38,管理制度,工作氛圍,-0.13333333333333336,經濟報酬
39,工作氛圍,工作氛圍,1.0,人際價值
40,主管風格,工作氛圍,0.586395471608374,人際價值
41,公司規模,工作氛圍,-0.12565617248750865,組織文化與制度
42,實習,工作氛圍,-0.09128709291752769,招募資訊
43,工作,工作氛圍,0.6846531968814575,招募資訊
44,能力,工作氛圍,-0.0912870929175277,招募資訊
45,招募人員,工作氛圍,0.586395471608374,招募資訊
46,正向,工作氛圍,0.8111111111111113,情緒
47,負向,工作氛圍,-0.18926408936295355,情緒
48,成就感,主管風格,-0.1256561724875086,成長價值
49,薪資,主管風格,-0.1109210799969803,經濟報酬
50,管理制度,主管風格,-0.12565617248750863,經濟報酬
51,工作氛圍,主管風格,0.586395471608374,人際價值
52,主管風格,主管風格,1.0,人際價值
53,公司規模,主管風格,-0.11842105263157893,組織文化與制度
54,實習,主管風格,-0.08603090020146062,招募資訊
55,工作,主管風格,-0.08603090020146062,招募資訊
56,能力,主管風格,-0.08603090020146062,招募資訊
57,招募人員,主管風格,1.0,招募資訊
58,正向,主管風格,0.823746019640334,情緒
59,負向,主管風格,0.15854800705788347,情緒
60,成就感,公司規模,-0.12565617248750863,成長價值
61,薪資,公司規模,0.9890462966397415,經濟報酬
62,管理制度,公司規模,0.5863954716083738,經濟報酬
63,工作氛圍,公司規模,-0.12565617248750865,人際價值
64,主管風格,公司規模,-0.11842105263157893,人際價值
65,公司規模,公司規模,1.0,組織文化與制度
66,實習,公司規模,0.888985968748427,招募資訊
67,工作,公司規模,-0.08603090020146065,招募資訊
68,能力,公司規模,-0.08603090020146065,招募資訊
69,招募人員,公司規模,-0.11842105263157893,招募資訊
70,正向,公司規模,-0.12565617248750868,情緒
71,負向,公司規模,0.1585480070578836,情緒
72,成就感,實習,-0.09128709291752769,成長價值
73,薪資,實習,0.9468419827298219,經濟報酬
74,管理制度,實習,0.6846531968814578,經濟報酬
75,工作氛圍,實習,-0.09128709291752769,人際價值
76,主管風格,實習,-0.0860309002014606,人際價值
77,公司規模,實習,0.888985968748427,組織文化與制度
78,實習,實習,1.0,招募資訊
79,工作,實習,-0.06249999999999999,招募資訊
80,能力,實習,-0.06249999999999999,招募資訊
81,招募人員,實習,-0.0860309002014606,招募資訊
82,正向,實習,-0.0912870929175277,情緒
83,負向,實習,0.237563817034874,情緒
84,成就感,工作,-0.09128709291752769,成長價值
85,薪資,工作,-0.08058229640253803,經濟報酬
86,管理制度,工作,-0.09128709291752769,經濟報酬
87,工作氛圍,工作,0.6846531968814576,人際價值
88,主管風格,工作,-0.08603090020146062,人際價值
89,公司規模,工作,-0.08603090020146065,組織文化與制度
90,實習,工作,-0.06249999999999999,招募資訊
91,工作,工作,1.0,招募資訊
92,能力,工作,-0.0625,招募資訊
93,招募人員,工作,-0.08603090020146062,招募資訊
94,正向,工作,0.16735967034880073,情緒
95,負向,工作,-0.129580263837204,情緒
96,成就感,能力,-0.09128709291752769,成長價值
97,薪資,能力,-0.08058229640253803,經濟報酬
98,管理制度,能力,-0.0912870929175277,經濟報酬
99,工作氛圍,能力,-0.0912870929175277,人際價值
100,主管風格,能力,-0.08603090020146062,人際價值
101,公司規模,能力,-0.08603090020146065,組織文化與制度
102,實習,能力,-0.06249999999999999,招募資訊
103,工作,能力,-0.0625,招募資訊
104,能力,能力,1.0,招募資訊
105,招募人員,能力,-0.08603090020146062,招募資訊
106,正向,能力,-0.0912870929175277,情緒
107,負向,能力,-0.129580263837204,情緒
108,成就感,招募人員,-0.1256561724875086,成長價值
109,薪資,招募人員,-0.1109210799969803,經濟報酬
110,管理制度,招募人員,-0.12565617248750863,經濟報酬
111,工作氛圍,招募人員,0.586395471608374,人際價值
112,主管風格,招募人員,1.0,人際價值
113,公司規模,招募人員,-0.11842105263157893,組織文化與制度
114,實習,招募人員,-0.08603090020146062,招募資訊
115,工作,招募人員,-0.08603090020146062,招募資訊
116,能力,招募人員,-0.08603090020146062,招募資訊
117,招募人員,招募人員,1.0,招募資訊
118,正向,招募人員,0.823746019640334,情緒
119,負向,招募人員,0.15854800705788347,情緒
120,成就感,正向,-0.1333333333333334,成長價值
121,薪資,正向,-0.11769797726729998,經濟報酬
122,管理制度,正向,-0.13333333333333333,經濟報酬
123,工作氛圍,正向,0.8111111111111113,人際價值
124,主管風格,正向,0.823746019640334,人際價值
125,公司規模,正向,-0.12565617248750868,組織文化與制度
126,實習,正向,-0.09128709291752772,招募資訊
127,工作,正向,0.16735967034880073,招募資訊
128,能力,正向,-0.0912870929175277,招募資訊
129,招募人員,正向,0.823746019640334,招募資訊
130,正向,正向,1.0,情緒
131,負向,正向,-0.18926408936295355,情緒
132,成就感,負向,-0.18926408936295352,成長價值
133,薪資,負向,0.18795375411207574,經濟報酬
134,管理制度,負向,0.078860037234564,經濟報酬
135,工作氛圍,負向,-0.18926408936295355,人際價值
136,主管風格,負向,0.1585480070578835,人際價值
137,公司規模,負向,0.15854800705788363,組織文化與制度
138,實習,負向,0.237563817034874,招募資訊
139,工作,負向,-0.129580263837204,招募資訊
140,能力,負向,-0.129580263837204,招募資訊
141,招募人員,負向,0.1585480070578835,招募資訊
142,正向,負向,-0.18926408936295355,情緒
143,負向,負向,1.0,情緒
