,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,0.2844400619942871,經濟報酬
2,管理制度,薪資,0.2844400619942871,經濟報酬
3,同事互動,薪資,-0.2606936229533505,人際價值
4,工作環境,薪資,-0.2606936229533505,組織文化與制度
5,工學院,薪資,-0.2606936229533505,科系專業
6,工作,薪資,0.2079615688578073,招募資訊
7,正向,薪資,0.5119921115897168,情緒
8,負向,薪資,0.03724194613619293,情緒
9,薪資,福利,0.2844400619942871,經濟報酬
10,福利,福利,1.0,經濟報酬
11,管理制度,福利,0.33333333333333337,經濟報酬
12,同事互動,福利,0.6546536707079771,人際價值
13,工作環境,福利,-0.2182178902359924,組織文化與制度
14,工學院,福利,0.6546536707079771,科系專業
15,工作,福利,0.17407765595569785,招募資訊
16,正向,福利,0.33333333333333337,情緒
17,負向,福利,-0.2182178902359924,情緒
18,薪資,管理制度,0.2844400619942871,經濟報酬
19,福利,管理制度,0.33333333333333337,經濟報酬
20,管理制度,管理制度,1.0,經濟報酬
21,同事互動,管理制度,0.6546536707079771,人際價值
22,工作環境,管理制度,-0.2182178902359924,組織文化與制度
23,工學院,管理制度,0.6546536707079771,科系專業
24,工作,管理制度,-0.5222329678670935,招募資訊
25,正向,管理制度,-0.33333333333333337,情緒
26,負向,管理制度,-0.2182178902359924,情緒
27,薪資,同事互動,-0.2606936229533505,經濟報酬
28,福利,同事互動,0.6546536707079771,經濟報酬
29,管理制度,同事互動,0.6546536707079771,經濟報酬
30,同事互動,同事互動,0.9999999999999999,人際價值
31,工作環境,同事互動,-0.14285714285714285,組織文化與制度
32,工學院,同事互動,0.9999999999999999,科系專業
33,工作,同事互動,-0.3418817293789138,招募資訊
34,正向,同事互動,-0.21821789023599236,情緒
35,負向,同事互動,-0.14285714285714285,情緒
36,薪資,工作環境,-0.2606936229533505,經濟報酬
37,福利,工作環境,-0.21821789023599236,經濟報酬
38,管理制度,工作環境,-0.21821789023599236,經濟報酬
39,同事互動,工作環境,-0.14285714285714285,人際價值
40,工作環境,工作環境,0.9999999999999999,組織文化與制度
41,工學院,工作環境,-0.14285714285714285,科系專業
42,工作,工作環境,0.5698028822981897,招募資訊
43,正向,工作環境,-0.21821789023599236,情緒
44,負向,工作環境,-0.14285714285714285,情緒
45,薪資,工學院,-0.2606936229533505,經濟報酬
46,福利,工學院,0.6546536707079771,經濟報酬
47,管理制度,工學院,0.6546536707079771,經濟報酬
48,同事互動,工學院,0.9999999999999999,人際價值
49,工作環境,工學院,-0.14285714285714285,組織文化與制度
50,工學院,工學院,0.9999999999999999,科系專業
51,工作,工學院,-0.3418817293789138,招募資訊
52,正向,工學院,-0.21821789023599236,情緒
53,負向,工學院,-0.14285714285714285,情緒
54,薪資,工作,0.20796156885780728,經濟報酬
55,福利,工作,0.17407765595569785,經濟報酬
56,管理制度,工作,-0.5222329678670935,經濟報酬
57,同事互動,工作,-0.3418817293789138,人際價值
58,工作環境,工作,0.5698028822981897,組織文化與制度
59,工學院,工作,-0.3418817293789138,科系專業
60,工作,工作,1.0,招募資訊
61,正向,工作,0.5222329678670935,情緒
62,負向,工作,0.11396057645963793,情緒
63,薪資,正向,0.5119921115897168,經濟報酬
64,福利,正向,0.33333333333333337,經濟報酬
65,管理制度,正向,-0.33333333333333337,經濟報酬
66,同事互動,正向,-0.2182178902359924,人際價值
67,工作環境,正向,-0.2182178902359924,組織文化與制度
68,工學院,正向,-0.2182178902359924,科系專業
69,工作,正向,0.5222329678670935,招募資訊
70,正向,正向,1.0,情緒
71,負向,正向,0.6546536707079771,情緒
72,薪資,負向,0.03724194613619293,經濟報酬
73,福利,負向,-0.21821789023599236,經濟報酬
74,管理制度,負向,-0.21821789023599236,經濟報酬
75,同事互動,負向,-0.14285714285714285,人際價值
76,工作環境,負向,-0.14285714285714285,組織文化與制度
77,工學院,負向,-0.14285714285714285,科系專業
78,工作,負向,0.11396057645963793,招募資訊
79,正向,負向,0.6546536707079771,情緒
80,負向,負向,0.9999999999999999,情緒
