,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.3333333333333333,成長價值
2,薪資,學習成長,-0.49374193110101877,經濟報酬
3,福利,學習成長,0.0,經濟報酬
4,管理制度,學習成長,1.0,經濟報酬
5,工作環境,學習成長,0.3333333333333333,組織文化與制度
6,產業前景,學習成長,-0.3333333333333333,組織文化與制度
7,變化性,學習成長,-0.3333333333333333,組織文化與制度
8,學經歷,學習成長,-0.3333333333333333,招募資訊
9,徵才,學習成長,-0.3333333333333333,招募資訊
10,工作,學習成長,0.8703882797784891,招募資訊
11,新鮮人,學習成長,-0.5773502691896257,招募資訊
12,正向,學習成長,0.9428090415820632,情緒
13,負向,學習成長,-0.7035264706814484,情緒
14,學習成長,創新,-0.3333333333333333,成長價值
15,創新,創新,1.0,成長價值
16,薪資,創新,0.07053456158585983,經濟報酬
17,福利,創新,0.0,經濟報酬
18,管理制度,創新,-0.3333333333333333,經濟報酬
19,工作環境,創新,-1.0,組織文化與制度
20,產業前景,創新,1.0,組織文化與制度
21,變化性,創新,-0.3333333333333333,組織文化與制度
22,學經歷,創新,-0.3333333333333333,招募資訊
23,徵才,創新,-0.3333333333333333,招募資訊
24,工作,創新,0.17407765595569782,招募資訊
25,新鮮人,創新,0.5773502691896257,招募資訊
26,正向,創新,-0.4714045207910316,情緒
27,負向,創新,-0.10050378152592121,情緒
28,學習成長,薪資,-0.49374193110101877,成長價值
29,創新,薪資,0.07053456158585983,成長價值
30,薪資,薪資,1.0,經濟報酬
31,福利,薪資,0.8638684255813601,經濟報酬
32,管理制度,薪資,-0.49374193110101877,經濟報酬
33,工作環境,薪資,-0.07053456158585983,組織文化與制度
34,產業前景,薪資,0.07053456158585983,組織文化與制度
35,變化性,薪資,-0.49374193110101877,組織文化與制度
36,學經歷,薪資,0.9169493006161777,招募資訊
37,徵才,薪資,0.9169493006161777,招募資訊
38,工作,薪資,-0.47886115464444223,招募資訊
39,新鮮人,薪資,0.8551861104941365,招募資訊
40,正向,薪資,-0.698256535275343,情緒
41,負向,薪資,0.914479731627094,情緒
42,學習成長,福利,0.0,成長價值
43,創新,福利,0.0,成長價值
44,薪資,福利,0.8638684255813602,經濟報酬
45,福利,福利,1.0,經濟報酬
46,管理制度,福利,0.0,經濟報酬
47,工作環境,福利,0.0,組織文化與制度
