,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.09045780889337948,經濟報酬
2,福利,學習成長,0.3074585970568892,經濟報酬
3,管理制度,學習成長,0.13409356397582106,經濟報酬
4,工作氛圍,學習成長,-0.039672077039598526,人際價值
5,同事互動,學習成長,-0.08309474241791225,人際價值
6,主管風格,學習成長,-0.0933338518561728,人際價值
7,工作地點,學習成長,-0.04603558919681342,組織文化與制度
8,工作環境,學習成長,-0.0396720770395985,組織文化與制度
9,產業前景,學習成長,0.23658890307181185,組織文化與制度
10,變化性,學習成長,-0.07082882469748278,組織文化與制度
11,安全,學習成長,-0.02784837457479779,產品與服務
12,配備,學習成長,-0.02784837457479779,產品與服務
13,尺寸,學習成長,-0.027848374574797777,產品與服務
14,面試,學習成長,-0.027848374574797816,招募資訊
15,學經歷,學習成長,-0.02784837457479777,招募資訊
16,實習,學習成長,-0.027848374574797816,招募資訊
17,工作,學習成長,-0.060305205928919754,招募資訊
18,離職,學習成長,-0.039672077039598574,招募資訊
19,新鮮人,學習成長,-0.027848374574797812,招募資訊
20,畢業,學習成長,-0.027848374574797812,招募資訊
21,正向,學習成長,0.05055515867684714,情緒
22,負向,學習成長,0.12013894113083598,情緒
23,學習成長,薪資,0.09045780889337948,成長價值
24,薪資,薪資,0.9999999999999999,經濟報酬
25,福利,薪資,-0.04470858749217438,經濟報酬
26,管理制度,薪資,-0.060446886420052415,經濟報酬
27,工作氛圍,薪資,-0.044708587492174226,人際價值
28,同事互動,薪資,-0.09364391377398124,人際價值
29,主管風格,薪資,0.19533969809498594,人際價值
30,工作地點,薪資,-0.05187997001783279,組織文化與制度
31,工作環境,薪資,-0.044708587492174226,組織文化與制度
32,產業前景,薪資,-0.055163731209732086,組織文化與制度
33,變化性,薪資,0.1862485203346893,組織文化與制度
34,安全,薪資,-0.031383824193258934,產品與服務
35,配備,薪資,-0.031383824193258934,產品與服務
36,尺寸,薪資,-0.03138382419325894,產品與服務
37,面試,薪資,-0.03138382419325904,招募資訊
38,學經歷,薪資,-0.03138382419325894,招募資訊
39,實習,薪資,-0.03138382419325904,招募資訊
40,工作,薪資,-0.06796116504854369,招募資訊
41,離職,薪資,-0.04470858749217424,招募資訊
42,新鮮人,薪資,-0.03138382419325904,招募資訊
43,畢業,薪資,-0.03138382419325904,招募資訊
44,正向,薪資,-0.18448874354009143,情緒
45,負向,薪資,0.12386291518065787,情緒
46,學習成長,福利,0.3074585970568892,成長價值
47,薪資,福利,-0.04470858749217438,經濟報酬
48,福利,福利,1.0,經濟報酬
49,管理制度,福利,-0.03976528224920919,經濟報酬
50,工作氛圍,福利,-0.029411764705882294,人際價值
51,同事互動,福利,-0.06160411036336965,人際價值
52,主管風格,福利,-0.06919509878818313,人際價值
53,工作地點,福利,-0.03412949405703809,組織文化與制度
54,工作環境,福利,-0.029411764705882304,組織文化與制度
55,產業前景,福利,0.3870904804999077,組織文化與制度
56,變化性,福利,-0.05251050315105033,組織文化與制度
57,安全,福利,-0.020646003475383357,產品與服務
58,配備,福利,-0.020646003475383357,產品與服務
59,尺寸,福利,-0.02064600347538335,產品與服務
60,面試,福利,-0.020646003475383402,招募資訊
61,學經歷,福利,-0.020646003475383347,招募資訊
62,實習,福利,-0.02064600347538341,招募資訊
63,工作,福利,-0.044708587492174344,招募資訊
64,離職,福利,-0.029411764705882335,招募資訊
65,新鮮人,福利,-0.020646003475383402,招募資訊
66,畢業,福利,-0.020646003475383402,招募資訊
67,正向,福利,0.2976805746318058,情緒
68,負向,福利,0.08906763981696869,情緒
69,學習成長,管理制度,0.13409356397582106,成長價值
70,薪資,管理制度,-0.06044688642005241,經濟報酬
71,福利,管理制度,-0.03976528224920919,經濟報酬
72,管理制度,管理制度,1.0,經濟報酬
73,工作氛圍,管理制度,-0.039765282249209145,人際價值
74,同事互動,管理制度,-0.08328996443456817,人際價值
75,主管風格,管理制度,-6.487379261840435e-17,人際價值
76,工作地點,管理制度,-0.04614374478282814,組織文化與制度
77,工作環境,管理制度,0.5169486692397188,組織文化與制度
78,產業前景,管理制度,-0.0490644295541312,組織文化與制度
79,變化性,管理制度,-0.07099522928088306,組織文化與制度
80,安全,管理制度,-0.027913801287570254,產品與服務
81,配備,管理制度,-0.027913801287570254,產品與服務
82,尺寸,管理制度,-0.02791380128757025,產品與服務
83,面試,管理制度,-0.02791380128757027,招募資訊
84,學經歷,管理制度,-0.02791380128757025,招募資訊
85,實習,管理制度,-0.027913801287570268,招募資訊
86,工作,管理制度,-0.0604468864200524,招募資訊
87,離職,管理制度,-0.03976528224920915,招募資訊
88,新鮮人,管理制度,-0.02791380128757027,招募資訊
89,畢業,管理制度,-0.02791380128757027,招募資訊
90,正向,管理制度,-0.00020867782771778626,情緒
91,負向,管理制度,0.023127249264108356,情緒
92,學習成長,工作氛圍,-0.039672077039598526,成長價值
93,薪資,工作氛圍,-0.044708587492174226,經濟報酬
94,福利,工作氛圍,-0.029411764705882294,經濟報酬
95,管理制度,工作氛圍,-0.039765282249209145,經濟報酬
96,工作氛圍,工作氛圍,1.0,人際價值
97,同事互動,工作氛圍,-0.06160411036336968,人際價值
98,主管風格,工作氛圍,-0.06919509878818318,人際價值
99,工作地點,工作氛圍,-0.03412949405703808,組織文化與制度
100,工作環境,工作氛圍,-0.029411764705882346,組織文化與制度
101,產業前景,工作氛圍,-0.03628973254686629,組織文化與制度
102,變化性,工作氛圍,-0.05251050315105032,組織文化與制度
103,安全,工作氛圍,-0.020646003475383323,產品與服務
104,配備,工作氛圍,-0.020646003475383323,產品與服務
105,尺寸,工作氛圍,-0.020646003475383333,產品與服務
106,面試,工作氛圍,-0.020646003475383295,招募資訊
107,學經歷,工作氛圍,-0.020646003475383336,招募資訊
108,實習,工作氛圍,-0.020646003475383302,招募資訊
109,工作,工作氛圍,-0.04470858749217424,招募資訊
110,離職,工作氛圍,-0.029411764705882335,招募資訊
111,新鮮人,工作氛圍,-0.0206460034753833,招募資訊
112,畢業,工作氛圍,-0.0206460034753833,招募資訊
113,正向,工作氛圍,0.03477913384913599,情緒
114,負向,工作氛圍,0.012386890305671132,情緒
115,學習成長,同事互動,-0.08309474241791225,成長價值
116,薪資,同事互動,-0.09364391377398124,經濟報酬
117,福利,同事互動,-0.06160411036336966,經濟報酬
118,管理制度,同事互動,-0.08328996443456817,經濟報酬
119,工作氛圍,同事互動,-0.06160411036336968,人際價值
120,同事互動,同事互動,1.0,人際價值
121,主管風格,同事互動,0.3079802557948966,人際價值
122,工作地點,同事互動,-0.07148558203021535,組織文化與制度
123,工作環境,同事互動,-0.0616041103633697,組織文化與制度
124,產業前景,同事互動,0.14568638422497632,組織文化與制度
125,變化性,同事互動,-0.10998533626601488,組織文化與制度
126,安全,同事互動,-0.04324387500644105,產品與服務
127,配備,同事互動,-0.04324387500644105,產品與服務
128,尺寸,同事互動,-0.043243875006441064,產品與服務
129,面試,同事互動,-0.04324387500644098,招募資訊
130,學經歷,同事互動,0.33514003129991815,招募資訊
131,實習,同事互動,-0.043243875006440995,招募資訊
132,工作,同事互動,-0.09364391377398125,招募資訊
133,離職,同事互動,0.207913872476373,招募資訊
134,新鮮人,同事互動,-0.04324387500644098,招募資訊
135,畢業,同事互動,-0.04324387500644098,招募資訊
136,正向,同事互動,0.27839994119089573,情緒
137,負向,同事互動,-0.0033975378057871505,情緒
138,學習成長,主管風格,-0.09333385185617281,成長價值
139,薪資,主管風格,0.19533969809498597,經濟報酬
140,福利,主管風格,-0.06919509878818313,經濟報酬
141,管理制度,主管風格,-6.487379261840435e-17,經濟報酬
142,工作氛圍,主管風格,-0.0691950987881832,人際價值
143,同事互動,主管風格,0.3079802557948966,人際價值
144,主管風格,主管風格,1.0,人際價值
145,工作地點,主管風格,-0.08029418623749374,組織文化與制度
146,工作環境,主管風格,-0.06919509878818315,組織文化與制度
147,產業前景,主管風格,-0.08537643537162361,組織文化與制度
148,變化性,主管風格,-0.12353796140044075,組織文化與制度
149,安全,主管風格,-0.048572476502051036,產品與服務
150,配備,主管風格,-0.048572476502051036,產品與服務
151,尺寸,主管風格,0.19428990600820445,產品與服務
152,面試,主管風格,-0.04857247650205098,招募資訊
153,學經歷,主管風格,0.43715228851845983,招募資訊
154,實習,主管風格,-0.04857247650205099,招募資訊
155,工作,主管風格,0.19533969809498597,招募資訊
156,離職,主管風格,0.2767803951527331,招募資訊
157,新鮮人,主管風格,-0.04857247650205098,招募資訊
158,畢業,主管風格,-0.04857247650205098,招募資訊
159,正向,主管風格,0.2270696815195376,情緒
160,負向,主管風格,-0.18793494663239277,情緒
161,學習成長,工作地點,-0.04603558919681343,成長價值
162,薪資,工作地點,-0.05187997001783279,經濟報酬
163,福利,工作地點,-0.03412949405703809,經濟報酬
164,管理制度,工作地點,-0.046143744782828136,經濟報酬
165,工作氛圍,工作地點,-0.03412949405703808,人際價值
166,同事互動,工作地點,-0.07148558203021535,人際價值
167,主管風格,工作地點,-0.08029418623749372,人際價值
168,工作地點,工作地點,0.9999999999999998,組織文化與制度
169,工作環境,工作地點,-0.03412949405703808,組織文化與制度
170,產業前景,工作地點,-0.04211070718385238,組織文化與制度
171,變化性,工作地點,-0.060933334777679024,組織文化與制度
172,安全,工作地點,-0.02395768019909926,產品與服務
173,配備,工作地點,-0.02395768019909926,產品與服務
174,尺寸,工作地點,-0.02395768019909926,產品與服務
175,面試,工作地點,-0.023957680199099236,招募資訊
176,學經歷,工作地點,-0.02395768019909926,招募資訊
177,實習,工作地點,-0.023957680199099246,招募資訊
178,工作,工作地點,-0.0518799700178328,招募資訊
179,離職,工作地點,-0.03412949405703811,招募資訊
180,新鮮人,工作地點,-0.02395768019909924,招募資訊
181,畢業,工作地點,-0.02395768019909924,招募資訊
182,正向,工作地點,-0.07143211946646694,情緒
183,負向,工作地點,-0.04722814141068031,情緒
184,學習成長,工作環境,-0.0396720770395985,成長價值
185,薪資,工作環境,-0.044708587492174226,經濟報酬
186,福利,工作環境,-0.029411764705882304,經濟報酬
187,管理制度,工作環境,0.5169486692397188,經濟報酬
188,工作氛圍,工作環境,-0.029411764705882346,人際價值
189,同事互動,工作環境,-0.0616041103633697,人際價值
190,主管風格,工作環境,-0.06919509878818315,人際價值
191,工作地點,工作環境,-0.03412949405703808,組織文化與制度
192,工作環境,工作環境,1.0,組織文化與制度
193,產業前景,工作環境,-0.03628973254686629,組織文化與制度
194,變化性,工作環境,-0.05251050315105033,組織文化與制度
195,安全,工作環境,-0.02064600347538333,產品與服務
196,配備,工作環境,-0.02064600347538333,產品與服務
197,尺寸,工作環境,-0.020646003475383336,產品與服務
198,面試,工作環境,-0.020646003475383302,招募資訊
199,學經歷,工作環境,-0.02064600347538334,招募資訊
200,實習,工作環境,-0.020646003475383312,招募資訊
201,工作,工作環境,-0.04470858749217423,招募資訊
202,離職,工作環境,-0.02941176470588234,招募資訊
203,新鮮人,工作環境,-0.02064600347538331,招募資訊
204,畢業,工作環境,-0.02064600347538331,招募資訊
205,正向,工作環境,0.009569406650797762,情緒
206,負向,工作環境,0.08021986102720363,情緒
207,學習成長,產業前景,0.23658890307181185,成長價值
208,薪資,產業前景,-0.05516373120973209,經濟報酬
209,福利,產業前景,0.3870904804999077,經濟報酬
210,管理制度,產業前景,-0.049064429554131206,經濟報酬
211,工作氛圍,產業前景,-0.03628973254686629,人際價值
212,同事互動,產業前景,0.14568638422497632,人際價值
213,主管風格,產業前景,-0.08537643537162361,人際價值
214,工作地點,產業前景,-0.04211070718385238,組織文化與制度
215,工作環境,產業前景,-0.03628973254686629,組織文化與制度
216,產業前景,產業前景,0.9999999999999999,組織文化與制度
217,變化性,產業前景,-0.06479013191860211,組織文化與制度
218,安全,產業前景,-0.02547409010563335,產品與服務
219,配備,產業前景,-0.02547409010563335,產品與服務
220,尺寸,產業前景,-0.02547409010563335,產品與服務
221,面試,產業前景,-0.02547409010563336,招募資訊
222,學經歷,產業前景,-0.02547409010563335,招募資訊
223,實習,產業前景,0.5689213456924785,招募資訊
224,工作,產業前景,0.12871537282270856,招募資訊
225,離職,產業前景,-0.03628973254686629,招募資訊
226,新鮮人,產業前景,-0.02547409010563336,招募資訊
227,畢業,產業前景,-0.02547409010563336,招募資訊
228,正向,產業前景,0.4006202805546896,情緒
229,負向,產業前景,0.10989618813630614,情緒
230,學習成長,變化性,-0.07082882469748279,成長價值
231,薪資,變化性,0.18624852033468928,經濟報酬
232,福利,變化性,-0.052510503151050325,經濟報酬
233,管理制度,變化性,-0.07099522928088306,經濟報酬
234,工作氛圍,變化性,-0.052510503151050325,人際價值
235,同事互動,變化性,-0.1099853362660149,人際價值
236,主管風格,變化性,-0.12353796140044075,人際價值
237,工作地點,變化性,-0.060933334777679024,組織文化與制度
238,工作環境,變化性,-0.052510503151050325,組織文化與制度
239,產業前景,變化性,-0.06479013191860211,組織文化與制度
240,變化性,變化性,1.0,組織文化與制度
241,安全,變化性,-0.036860489038724256,產品與服務
242,配備,變化性,-0.036860489038724256,產品與服務
243,尺寸,變化性,-0.036860489038724256,產品與服務
244,面試,變化性,-0.036860489038724284,招募資訊
245,學經歷,變化性,-0.036860489038724256,招募資訊
246,實習,變化性,-0.03686048903872425,招募資訊
247,工作,變化性,-0.07982079442915227,招募資訊
248,離職,變化性,-0.052510503151050325,招募資訊
249,新鮮人,變化性,-0.03686048903872427,招募資訊
250,畢業,變化性,-0.03686048903872427,招募資訊
251,正向,變化性,-0.10722401116327518,情緒
252,負向,變化性,0.15901754376302885,情緒
253,學習成長,安全,-0.02784837457479779,成長價值
254,薪資,安全,-0.031383824193258934,經濟報酬
255,福利,安全,-0.020646003475383357,經濟報酬
256,管理制度,安全,-0.02791380128757025,經濟報酬
257,工作氛圍,安全,-0.020646003475383326,人際價值
258,同事互動,安全,-0.04324387500644105,人際價值
259,主管風格,安全,-0.04857247650205103,人際價值
260,工作地點,安全,-0.02395768019909926,組織文化與制度
261,工作環境,安全,-0.02064600347538333,組織文化與制度
262,產業前景,安全,-0.025474090105633347,組織文化與制度
263,變化性,安全,-0.036860489038724256,組織文化與制度
264,安全,安全,1.0,產品與服務
265,配備,安全,1.0,產品與服務
266,尺寸,安全,-0.014492753623188416,產品與服務
267,面試,安全,-0.014492753623188404,招募資訊
268,學經歷,安全,-0.014492753623188416,招募資訊
269,實習,安全,-0.014492753623188411,招募資訊
270,工作,安全,-0.03138382419325895,招募資訊
271,離職,安全,-0.020646003475383357,招募資訊
272,新鮮人,安全,-0.014492753623188408,招募資訊
273,畢業,安全,-0.014492753623188408,招募資訊
274,正向,安全,-0.09314044774410499,情緒
275,負向,安全,0.06252228724098115,情緒
276,學習成長,配備,-0.02784837457479779,成長價值
277,薪資,配備,-0.031383824193258934,經濟報酬
278,福利,配備,-0.020646003475383357,經濟報酬
279,管理制度,配備,-0.02791380128757025,經濟報酬
280,工作氛圍,配備,-0.020646003475383326,人際價值
281,同事互動,配備,-0.04324387500644105,人際價值
282,主管風格,配備,-0.04857247650205103,人際價值
283,工作地點,配備,-0.02395768019909926,組織文化與制度
