,item1,item2,value,class
0,成就感,成就感,1,成長價值
1,學習成長,成就感,-0.0243587909235472,成長價值
2,創新,成就感,-0.00892062641871711,成長價值
3,薪資,成就感,-0.0767462815040441,經濟報酬
4,福利,成就感,-0.070819149948287,經濟報酬
5,管理制度,成就感,-0.11457926837558,經濟報酬
6,工作氛圍,成就感,-0.00785971256593255,人際價值
7,同事互動,成就感,-0.0628868405323993,人際價值
8,主管風格,成就感,0.248568083348643,人際價值
9,工作地點,成就感,-0.0231975851264224,組織安全與安定
10,公司規模,成就感,-0.0512053594934999,組織安全與安定
11,工作環境,成就感,-0.0505895672978976,組織安全與安定
12,產業前景,成就感,-0.0390265972930139,組織安全與安定
13,輪調,成就感,-0.0109309747644027,變化性
14,外派,成就感,-0.0585293436345136,變化性
15,出差,成就感,-0.00545932445517202,變化性
16,安全,成就感,-0.00545932445517202,產品與服務
17,配備,成就感,-0.0195701024340574,產品與服務
18,價錢,成就感,-0.00834343593143413,產品與服務
19,科技,成就感,-0.00772355264077955,產品與服務
20,品質,成就感,-0.0343599808022841,產品與服務
21,品牌,成就感,-0.0382875535972912,產品與服務
22,空間,成就感,-0.0212559576232865,產品與服務
23,保養,成就感,-0.0342532013771866,產品與服務
24,續航,成就感,-0.00545932445517202,產品與服務
25,車種,成就感,-0.00445696168988014,產品與服務
26,變速箱,成就感,-0.00772355264077949,產品與服務
27,電資,成就感,-0.0260090398740832,科系專業
28,機械,成就感,-0.0154820667113015,科系專業
29,製造,成就感,0.188692182198758,科系專業
30,品管,成就感,-0.036731086870392,科系專業
31,多元性,成就感,-0.0325580351259371,公司文化與價值
32,面試,成就感,-0.0335449490392617,招募資訊
33,徵才,成就感,-0.0221917938992393,招募資訊
34,實習,成就感,0.201921360001351,招募資訊
35,工作,成就感,0.260082900735936,招募資訊
36,離職,成就感,-0.030744690974998,招募資訊
37,新鮮人,成就感,-0.0279180875196375,招募資訊
38,畢業,成就感,-0.0241715262894013,招募資訊
39,出路,成就感,-0.00630467440287409,招募資訊
40,能力,成就感,-0.0724014151999036,招募資訊
41,招募人員,成就感,0.259182280069235,招募人員
42,正向,成就感,0.207194363199794,情緒
43,負向,成就感,0.199545071321601,情緒
44,成就感,學習成長,-0.0243587909235472,成長價值
45,學習成長,學習成長,1,成長價值
46,創新,學習成長,0.00756998752161796,成長價值
